tipo,local_canonico,sigla_secretaria,secretaria,efetivo,folha_total,folha_media,ticket_medio
Categoria,Estagios - Sema - D. Educ Amb,,,4,4339.2,1084.8,1084.8
Categoria,Estagios - Segov - Concilia,,,4,4277.6,1069.4,1069.4
Categoria,Estagios - Sedetur - Casa Tur,,,3,3074.4,1024.8,1024.8
Categoria,Estagios - Sema,,,3,3254.4,1084.8,1084.8
Categoria,Estagios - Sema - D. LIC Ctl Amb,,,3,3675.2,1225.07,1225.07
Categoria,Estagios - Corregedoria,,,3,3254.4,1084.8,1084.8
Categoria,Estagios - Pq Biquinha-sema,,,2,2169.6,1084.8,1084.8
Categoria,Estagios - Pq Zoologico-sema,,,2,2169.6,1084.8,1084.8
Categoria,Estagios - Sede Gabinete,,,2,2169.6,1084.8,1084.8
Categoria,Estagios - Ses DIV Aval Contr,,,2,2169.6,1084.8,1084.8
Categoria,Estagios - Sede - Uniten,,,2,2169.6,1084.8,1084.8
Categoria,Estagios - Metareciclagem,,,2,2169.6,1084.8,1084.8
Categoria,Estagios - Sert,,,1,1084.8,1084.8,1084.8
Categoria,Estagios - Ses DIV Vig Sanit,,,1,1084.8,1084.8,1084.8
Categoria,Estagios - Sefaz - Secretaria,,,1,1084.8,1084.8,1084.8
Categoria,Estagios - Pq Agua Verm-sema,,,1,1084.8,1084.8,1084.8
Categoria,Estagios - Setur,,,1,1084.8,1084.8,1084.8
Escola,CEI 89 — Zilda P. Aguil,SEDUC,Secretaria da Educação,78,638535.53,8186.35,8186.35
Escola,CEI 78 — Ettore Marang,SEDUC,Secretaria da Educação,68,476973.11,7014.31,7014.31
Escola,EM Ary de O Seabra,SEDUC,Secretaria da Educação,64,704097.51,11001.52,11001.52
Escola,EM Renice Seraphim,SEDUC,Secretaria da Educação,64,596833.2,9325.52,9325.52
Escola,CEI 90 — Helio D. C. Jr.,SEDUC,Secretaria da Educação,62,392495.37,6330.57,6330.57
Escola,CEI 109 — Benedicto Pagl,SEDUC,Secretaria da Educação,59,433834.98,7353.14,7353.14
Escola,EM Tereza C. Gianini,SEDUC,Secretaria da Educação,59,666666.37,11299.43,11299.43
Escola,EM Ines R. Cesarotti,SEDUC,Secretaria da Educação,58,605454.51,10438.87,10438.87
Escola,EM Achilles Almeida,SEDUC,Secretaria da Educação,57,716123.58,12563.57,12563.57
Escola,CEI 107 — Arminda da Con,SEDUC,Secretaria da Educação,57,375942.67,6595.49,6595.49
